MA,V,Visa_Inc.,Mastercard,Visa_z,MA_z,Visa_7_day_profit,MA_7_day_profit
501.8974914550781,304.9100036621094,1187,1070,-0.9320702177413406,-1.201336938558053,1.58001708984375,1.257843017578125
499.89093017578125,305.5299987792969,1177,913,-0.9523765349461946,-1.6542872859169286,2.980010986328125,2.46575927734375
483.4092712402344,295.5199890136719,1397,1003,0.01438034649955402,-1.3073312000750084,-13.44000244140625,-22.840728759765625
493.15252685546875,299.5400085449219,1149,1006,-1.0746830370331,-1.2571878405522965,-8.75,-10.41748046875
498.8028259277344,302.239990234375,1493,1217,0.4363720490154002,-0.5599223829691246,-2.1199951171875,0.142822265625
490.8065490722656,298.510009765625,1270,1072,-0.5398812135046084,-0.9949826294066723,-10.8800048828125,-17.7734375
492.5934753417969,300.79998779296875,1303,1026,-0.38354725671392154,-1.1049531305271652,-10.57000732421875,-20.566497802734375
500.6396484375,303.3299865722656,1339,992,-0.20565228667656218,-1.1679769934746684,-12.58001708984375,-19.32037353515625
497.4251708984375,302.54998779296875,1130,958,-1.0926251409737446,-1.2288947685804086,-12.550018310546875,-21.11480712890625
506.25,308.9599914550781,1723,1134,1.4856116577585559,-0.6558848861096553,-8.05999755859375,-15.04998779296875
503.57000732421875,308.2900085449219,1260,1141,-0.5158680871958141,-0.6069321116492099,-5.649993896484375,-13.08001708984375
498.6600036621094,304.3599853515625,1129,993,-1.046590492734257,-1.0430268692609568,-5.58001708984375,-12.69000244140625
508.5799865722656,309.3900146484375,1112,1009,-1.0811907281077844,-0.9767828439533595,-1.899993896484375,-1.58001708984375
513.1599731445312,311.3699951171875,1194,1057,-0.7076072453661946,-0.7980566372319914,2.489990234375,10.77996826171875
519.9600219726562,315.9100036621094,1342,1057,-0.07401191592275488,-0.781121080221021,6.489990234375,15.790008544921875
518.5399780273438,315.1000061035156,1453,1182,0.3858596522477853,-0.28079315499506846,5.45001220703125,12.1099853515625
521.2999877929688,317.0199890136719,1414,1126,0.21119009754477194,-0.47088962490536823,7.720001220703125,13.67999267578125
516.6500244140625,313.94000244140625,1234,1202,-0.5436331201669045,-0.12578512410208978,-20.91998291015625,-8.5799560546875
511.3500061035156,309.94000244140625,1251,1093,-0.4513047138489551,-0.5641319381105259,-19.899993896484375,8.42999267578125
510.1600036621094,311.2900085449219,1238,1203,-0.4930640263585675,-0.04253448616015694,-16.739990234375,14.70001220703125
502.3800048828125,308.8800048828125,1331,1332,-0.07071775588781061,0.5967693375369233,,
504.1700134277344,309.4200134277344,1215,1108,-0.5709290584814903,-0.44411095303899784,,
506.42999267578125,309.6499938964844,1471,1270,0.5255588286939412,0.3635487412043799,,
507.6199951171875,309.29998779296875,1297,1095,-0.21449308250342722,-0.47007329316936414,,
525.22998046875,334.8599853515625,1414,1108,0.2830940244318555,-0.3766478296057334,,
502.9200134277344,329.8399963378906,1229,1103,-0.4960838872210096,-0.3811661452158248,,
495.4599914550781,328.0299987792969,1234,963,-0.4465483965769795,-1.115527947923431,,
